1 name: Sample name without spaces or symbols. , 2 lat: latitude used to calculate the muon contributions (DD)., 3 site_elv: elevation of the sample above sea level (m). , 4 Isotope (used to calculate the muon contributions ), 5 base_level: elevation of the fluvial or glacial surface at the site area (m).  , 6 Apparent_years: Apparent age (a)., 7 dApparent_years: External uncertainty of the apparent age (a). 
10-BDM-059-HOP,-83.51344,825,10,80,1832709,180594
10-BDM-059-HOP,-83.51344,825,26,80,1375676,254851
10-BDM-059-HOP,-83.51344,825,3,80,545980,57479
10-BDM-059-HOP,-83.51344,825,3,80,596104,62984
10-BDM-059-HOP,-83.51344,825,21,80,3926443,252120
10-BDM-059-HOP,-83.51344,825,21,80,3986947,257021
10-BDM-059-HOP,-83.51344,825,14,80,16497,2729
10-BDM-063-HOP,-83.51915,754,10,80,790400,58527
10-BDM-063-HOP,-83.51915,754,26,80,677441,84503
10-BDM-063-HOP,-83.51915,754,3,80,120501,13277
10-BDM-063-HOP,-83.51915,754,3,80,146899,16004
10-BDM-063-HOP,-83.51915,754,21,80,2627004,170206
10-BDM-063-HOP,-83.51915,754,21,80,2723969,177486
10-BDM-063-HOP,-83.51915,754,14,80,11356,1270
10-BDM-066-HOP,-83.51979,649,10,80,715398,51752
10-BDM-066-HOP,-83.51979,649,26,80,611787,73332
10-BDM-066-HOP,-83.51979,649,3,80,284387,30251
10-BDM-066-HOP,-83.51979,649,3,80,247727,26466
10-BDM-066-HOP,-83.51979,649,21,80,1413651,93652
10-BDM-066-HOP,-83.51979,649,21,80,1318268,88225
10-BDM-069-HOP,-83.52037,580,10,80,535245,36929
10-BDM-069-HOP,-83.52037,580,26,80,457177,50930
10-BDM-069-HOP,-83.52037,580,3,80,127467,13962
10-BDM-069-HOP,-83.52037,580,3,80,113155,12638
10-BDM-069-HOP,-83.52037,580,21,80,1647695,121764
10-BDM-069-HOP,-83.52037,580,21,80,1563378,120483
10-BDM-085-HOP,-83.51913,498,10,80,334061,21966
10-BDM-085-HOP,-83.51913,498,26,80,293301,30254
10-BDM-085-HOP,-83.51913,498,3,80,132619,14764
10-BDM-085-HOP,-83.51913,498,3,80,112057,12518
10-BDM-085-HOP,-83.51913,498,21,80,2012977,134996
10-BDM-085-HOP,-83.51913,498,21,80,1997980,132481
10-BDM-085-HOP,-83.51913,498,14,80,6349,539
10-BDM-053-HOP,-83.51706,283,10,80,17332,1091
10-BDM-053-HOP,-83.51706,283,26,80,18624,1800
10-BDM-053-HOP,-83.51706,283,3,80,8139,5449
10-BDM-053-HOP,-83.51706,283,3,80,16072,6108
10-BDM-053-HOP,-83.51706,283,21,80,4217524,274308
10-BDM-053-HOP,-83.51706,283,21,80,3863402,253630
10-BDM-086-HOP,-83.51191,161,10,80,15559,965
10-BDM-086-HOP,-83.51191,161,26,80,16342,1676
10-BDM-057-HOP,-83.51882,369,10,80,327215,21503
10-BDM-057-HOP,-83.51882,369,26,80,284571,29622
10-BDM-057-HOP,-83.51882,369,3,80,116663,13481
10-BDM-057-HOP,-83.51882,369,3,80,108835,13052
10-BDM-057-HOP,-83.51882,369,21,80,1902303,131232
10-BDM-057-HOP,-83.51882,369,21,80,1438681,101077
10-BDM-057-HOP,-83.51882,369,14,80,4053,279
10-BDM-076-HOP,-83.51731,446,10,80,328705,21994
10-BDM-076-HOP,-83.51731,446,26,80,314623,32647
10-BDM-081-HOP,-83.5076,225,10,80,199720,12759
10-BDM-081-HOP,-83.5076,225,26,80,206921,20228
10-BDM-081-HOP,-83.5076,225,10,80,201085,14288
10-BDM-081-HOP,-83.5076,225,26,80,189004,18944

